MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RISK_MM,Humidity3pm,RainTomorrow,RainToday
14,26.9,3.6,4.4,9.7,39,4,17,80,,1012.4,1008.4,5,3,17.5,25,3.6,70,Yes,Yes
13.7,23.4,3.6,5.8,3.3,85,6,6,82,,1009.5,1007.2,8,7,15.4,20,39.8,69,Yes,Yes
13.3,15.5,39.8,7.2,9.1,54,30,24,62,,1005.5,1007,2,7,13.5,14,2.8,67,Yes,Yes
7.6,16.1,2.8,5.6,10.6,50,20,28,68,,1018.3,1018.5,7,7,11.1,15,0,49,No,Yes
6.1,18.2,0.2,4.2,8.4,43,19,26,63,,1024.6,1022.2,4,6,12.4,17,0,47,No,No
8.8,19.5,0,4,4.1,48,19,17,70,,1026.1,1022.7,7,7,14.1,18,16.2,88,Yes,No
8.4,22.8,16.2,5.4,7.7,31,7,6,82,,1024.1,1020.7,7,1,13.3,21,0,32,No,Yes
9.1,25.2,0,4.2,11.9,30,6,9,74,,1024.4,1021.1,1,2,14.6,24,0.2,34,No,No
8.5,27.3,0.2,7.2,12.5,41,2,15,54,,1023.8,1019.9,0,3,16.8,26,0,35,No,No
10.1,27.9,0,7.2,13,30,6,7,62,,1022,1017.1,0,1,17,27,0,29,No,No
12.1,30.9,0,6.2,12.4,44,7,20,67,,1017.3,1013.1,1,4,19.7,30,0,20,No,No
10.1,31.2,0,8.8,13.1,41,6,20,45,,1018.2,1013.7,0,1,18.7,30,0,16,No,No
12.4,32.1,0,8.4,11.1,46,7,9,70,,1017.9,1012.8,0,3,19.1,30,0,22,No,No
11.7,30,1.2,7.2,10.1,52,6,11,59,,1016.4,1013,1,5,20.1,28,0.6,26,No,Yes
12.4,32.3,0.6,7.4,13,39,4,17,60,,1017.1,1013.3,1,3,20.2,31,0,25,No,No
15.6,33.4,0,8,10.4,33,2,13,61,,1018.5,1013.7,0,1,22.8,32,0,27,No,No
