Humidity3pm,Temp3pm
70,25
69,20
67,14
49,15
47,17
88,18
32,21
34,24
35,26
29,27
20,30
16,30
22,30
26,28
25,31
27,32
26,32
72,18
31,27
48,25
31,26
65,23
90,16
46,25
60,19
40,25
74,22
42,26
24,28
37,22
51,19
49,19
37,25
86,20
40,20
43,19
64,20
74,20
85,28
62,19
49,18
78,22
52,21
35,23
64,19
44,27
30,30
18,34
20,32
20,31
14,33
45,23
40,26
34,31
36,31
44,28
45,27
25,32
24,34
35,31
26,31
62,23
42,23
65,19
88,18
46,22
38,22
29,26
32,24
28,28
28,30
18,32
22,32
71,26
49,22
44,27
72,29
76,22
41,26
76,20
37,21
69,24
60,22
37,22
32,24
40,24
46,22
42,24
38,26
94,24
42,27
32,24
34,22
35,24
27,27
25,26
78,15
34,16
31,20
37,22
28,25
28,27
35,26
24,30
39,24
33,27
28,30
18,32
23,30
18,31
15,32
15,34
17,30
22,28
30,29
48,24
35,27
44,24
68,21
93,16
50,17
36,17
35,17
30,18
34,18
42,16
34,21
40,13
33,17
27,20
35,20
48,19
45,17
49,18
28,22
29,22
89,19
40,17
36,20
39,18
44,20
43,19
51,15
34,19
49,17
43,18
42,20
34,20
95,16
40,13
40,13
38,15
42,16
42,15
41,18
53,15
43,16
44,16
36,20
41,20
52,17
47,18
34,18
44,17
79,17
53,13
36,16
52,16
47,16
43,13
49,14
43,13
89,17
92,17
50,16
45,17
46,17
38,18
86,13
42,16
42,14
65,14
94,11
48,14
49,11
51,16
63,14
44,12
53,12
54,11
48,11
51,12
41,14
38,14
68,12
53,12
53,11
52,10
96,8
85,6
51,15
46,13
73,8
48,10
87,8
33,11
48,10
51,10
25,12
50,10
66,7
49,11
48,11
38,12
82,8
48,11
72,7
48,13
78,5
41,10
45,9
51,12
27,13
35,10
30,11
47,12
36,12
27,13
44,10
38,11
28,14
34,12
23,15
23,14
43,12
45,14
89,15
85,12
34,14
44,14
51,11
33,15
33,15
37,15
25,13
35,14
20,16
27,21
66,25
69,18
33,12
43,13
36,17
30,22
15,21
25,18
70,21
44,14
33,16
32,18
35,20
25,24
25,23
32,16
34,16
16,19
21,26
65,19
46,19
64,16
45,14
33,16
22,18
25,21
30,20
27,22
67,23
42,18
30,19
34,21
31,23
30,27
20,26
28,18
24,14
25,16
29,19
16,24
20,25
15,30
22,28
47,18
39,25
13,28
